iter	Logloss
0	0.6676569451
1	0.643281411
2	0.6186419544
3	0.5974212801
4	0.5783857196
5	0.5620465384
6	0.5450164489
7	0.5288186598
8	0.5166254293
9	0.5042843419
10	0.493126175
11	0.4820537225
12	0.4729427061
13	0.4621917271
14	0.4534116402
15	0.4444293136
16	0.4370103032
17	0.4296967205
18	0.4231984929
19	0.4169215285
20	0.4107024864
21	0.4053565968
22	0.4011487941
23	0.3969271667
24	0.3932573273
25	0.3899063131
26	0.3856268231
27	0.3820603047
28	0.3795931638
29	0.3758411756
30	0.3727998281
31	0.3701144119
32	0.3678689522
33	0.3658631046
34	0.3633838487
35	0.3606409227
36	0.3580539897
37	0.3558767063
38	0.3543449278
39	0.3520912117
40	0.3498232868
41	0.3482242068
42	0.3469559787
43	0.3451425017
44	0.343760539
45	0.3427683345
46	0.3411772152
47	0.3397829137
48	0.3388981651
49	0.3379548336
50	0.3374048323
51	0.3365856479
52	0.3356653999
53	0.3346304315
54	0.3338539343
55	0.3329946276
56	0.3322330007
57	0.3314851684
58	0.3307312003
59	0.3299667918
60	0.3296585119
61	0.3291640583
62	0.3285294955
63	0.3280250537
64	0.3270863107
65	0.3264822081
66	0.3261066704
67	0.3256676523
68	0.3253166016
69	0.324808869
70	0.3242413766
71	0.3235273333
72	0.3231236398
73	0.3227699466
74	0.3223928893
75	0.3218414724
76	0.3213853386
77	0.3211533141
78	0.3208415106
79	0.3205036947
80	0.3202675974
81	0.319917146
82	0.3196268912
83	0.3193117957
84	0.3191891006
85	0.3190064381
86	0.3188571147
87	0.3186501598
88	0.3184753712
89	0.3180963347
90	0.3177322646
91	0.3175740971
92	0.3174985114
93	0.317206886
94	0.3170195327
95	0.3168565005
96	0.31666986
97	0.3164815527
98	0.3162177802
99	0.3160558284
100	0.3159383177
101	0.3158282924
102	0.3157246693
103	0.3154878585
104	0.3153386246
105	0.3150318941
106	0.3148615611
107	0.3146922686
108	0.3145688464
109	0.3145018698
110	0.314368684
111	0.3141483929
112	0.3139923045
113	0.3138469006
114	0.3137406439
115	0.3136398883
116	0.3135835559
117	0.313546452
118	0.3133117272
119	0.3132305992
120	0.3132292214
121	0.3130826604
122	0.3129331775
123	0.3128142178
124	0.3127828027
125	0.3127223645
126	0.312601168
127	0.3125503656
128	0.3124801715
129	0.3124243778
130	0.3122809989
131	0.3121417512
132	0.3119888124
133	0.3118734885
134	0.3117610308
135	0.3116716729
136	0.3116073136
137	0.3115726649
138	0.311437926
139	0.3113232629
140	0.3111766982
141	0.3110524711
142	0.3110023265
143	0.3109207621
144	0.3107929943
145	0.3106615549
146	0.3105484484
147	0.3104897767
148	0.310422785
149	0.3103012428
150	0.3102267384
151	0.3101136363
152	0.3100266713
153	0.3099877434
154	0.3099136794
155	0.3098290046
156	0.3097637769
157	0.3096881212
158	0.3096210416
159	0.3095118416
160	0.3093495801
161	0.3092996849
162	0.3092311275
163	0.3091776883
164	0.3090935708
165	0.3089522671
166	0.3088905372
167	0.3088347647
168	0.3087668453
169	0.3087243619
170	0.3087013436
171	0.3086051525
172	0.3085081441
173	0.3084690748
174	0.3084285172
175	0.3083384355
176	0.3082739095
177	0.3081303446
178	0.3080607651
179	0.3079335583
180	0.3077752461
181	0.3076746611
182	0.3076397315
183	0.3075859195
184	0.3075494014
185	0.3074982264
186	0.3073751527
187	0.3072596986
188	0.3071853937
189	0.307134546
190	0.3070958327
191	0.3070293498
192	0.3069181881
193	0.3068780062
194	0.3068293832
195	0.306769403
196	0.3066881699
197	0.3066354384
198	0.3065650556
199	0.3064799572
200	0.3064357357
201	0.3063741271
202	0.3063298079
203	0.3062916829
204	0.3062428234
205	0.3061875201
206	0.3061225943
207	0.3060908441
208	0.3060768857
209	0.3060409777
210	0.3059489461
211	0.3058452606
212	0.3058177464
213	0.3057797264
214	0.3056868208
215	0.3055948476
216	0.3055049375
217	0.3054690826
218	0.3054310759
219	0.3054137275
220	0.3053649705
221	0.3053020356
222	0.3052659764
223	0.3052141894
224	0.3051725503
225	0.3051511065
226	0.3051031265
227	0.30500144
228	0.304961905
229	0.3049192132
230	0.3048675197
231	0.3048420897
232	0.3047851672
233	0.3046933319
234	0.30463249
235	0.304608317
236	0.3045783452
237	0.3045383125
238	0.3044659834
239	0.3044288832
240	0.3044134481
241	0.3043758973
242	0.3043702335
243	0.3042975642
244	0.3042272012
245	0.3041206545
246	0.3040769609
247	0.3040250055
248	0.3039765515
249	0.3039258193
250	0.3038502564
251	0.3037915142
252	0.3037675022
253	0.3037245991
254	0.3037146875
255	0.3036476159
256	0.3035794815
257	0.3035340012
258	0.3034888706
259	0.3034174816
260	0.3033778093
261	0.3033446341
262	0.3033127475
263	0.3032749325
264	0.3032214246
265	0.3031680115
266	0.3031127486
267	0.303092073
268	0.3029791947
269	0.3029341724
270	0.302890596
271	0.3028405502
272	0.3027768021
273	0.3027401264
274	0.3026826047
275	0.3026312226
276	0.3026261169
277	0.3025622916
278	0.3025208248
279	0.302479177
280	0.3024146637
281	0.3023834594
282	0.3023736586
283	0.3023085136
284	0.3022671901
285	0.30223029
286	0.3021794734
287	0.3021377548
288	0.3021007926
289	0.3019825093
290	0.3019140492
291	0.3018363679
292	0.3018144117
293	0.3017728529
294	0.3017157426
295	0.3016800421
296	0.3016315916
297	0.301576395
298	0.3014974843
299	0.3014852453
300	0.3014195002
301	0.3013992904
302	0.3013587393
303	0.30133884
304	0.3012689245
305	0.3012536978
306	0.3012368004
307	0.3011351527
308	0.3010638314
309	0.3010320795
310	0.3010295586
311	0.3009708142
312	0.3009333861
313	0.3008914048
314	0.3008513564
315	0.3007625803
316	0.3007200753
317	0.3006685504
318	0.3006248624
319	0.3005864307
320	0.3005314741
321	0.3004960746
322	0.3004684118
323	0.3004292608
324	0.3004018284
325	0.3003664876
326	0.3003197259
327	0.3003008066
328	0.3002695634
329	0.3002413339
330	0.3001978895
331	0.3001744154
332	0.3000851948
333	0.3000169805
334	0.2999875471
335	0.2999640638
336	0.2999297109
337	0.2998900174
338	0.2998554695
339	0.2998324028
340	0.2997667936
341	0.2997140259
342	0.2996615552
343	0.2996153667
344	0.2995799916
345	0.2995325951
346	0.2994936688
347	0.2994459777
348	0.2994050982
349	0.2993582955
350	0.2992943383
351	0.2991852314
352	0.2991612682
353	0.2991318026
354	0.299100188
355	0.2990804697
356	0.2990330763
357	0.2989868733
358	0.2988947145
359	0.2988216657
360	0.2988017393
361	0.2987745963
362	0.298704857
363	0.298602616
364	0.298558429
365	0.298516143
366	0.2984747792
367	0.2984420125
368	0.2984126259
369	0.2983733004
370	0.2983323019
371	0.2982690072
372	0.2982351869
373	0.2982098644
374	0.2981699345
375	0.2981320672
376	0.2980874637
377	0.2980046514
378	0.2979444804
379	0.2979032881
380	0.2978982797
381	0.297870248
382	0.297836038
383	0.2977898778
384	0.2977516377
385	0.2977133655
386	0.2976846971
387	0.2976326909
388	0.2975796624
389	0.2975371894
390	0.2975166584
391	0.2974770138
392	0.297422674
393	0.2973759192
394	0.2973326892
395	0.2972644909
396	0.2972132859
397	0.2971820188
398	0.2971445951
