iter	Passed	Remaining
451	1069	1296
452	1071	1293
453	1073	1290
454	1075	1287
455	1077	1285
456	1079	1282
457	1081	1280
458	1083	1277
459	1086	1275
460	1088	1272
461	1090	1270
462	1092	1267
463	1094	1264
464	1096	1262
465	1099	1259
466	1101	1257
467	1104	1255
468	1106	1252
469	1108	1250
470	1111	1247
471	1113	1245
472	1115	1242
473	1117	1239
474	1119	1237
475	1121	1234
476	1124	1232
477	1126	1229
478	1128	1227
479	1131	1225
480	1133	1223
481	1136	1220
482	1138	1218
483	1140	1215
484	1142	1213
485	1145	1211
486	1148	1209
487	1150	1207
488	1152	1204
489	1155	1203
490	1158	1201
491	1160	1198
492	1163	1196
493	1165	1193
494	1167	1191
495	1170	1189
496	1172	1186
497	1174	1184
498	1177	1182
499	1180	1180
500	1182	1178
501	1185	1176
502	1188	1174
503	1190	1171
504	1192	1169
505	1195	1167
506	1198	1165
507	1200	1163
508	1203	1161
509	1206	1158
510	1208	1156
511	1211	1154
512	1214	1152
513	1217	1150
514	1220	1149
515	1222	1146
516	1224	1143
517	1226	1141
518	1229	1139
519	1231	1137
520	1234	1134
521	1237	1132
522	1239	1130
523	1241	1128
524	1244	1126
525	1246	1123
526	1249	1121
527	1252	1119
528	1254	1116
529	1256	1114
530	1259	1112
531	1262	1110
532	1265	1108
533	1267	1106
534	1270	1103
535	1272	1101
536	1275	1099
537	1278	1097
538	1280	1094
539	1282	1092
540	1284	1089
541	1286	1087
542	1289	1085
543	1291	1082
544	1294	1080
545	1296	1077
546	1298	1075
547	1301	1073
548	1303	1070
549	1305	1068
550	1307	1065
551	1309	1062
552	1312	1060
553	1314	1058
554	1316	1055
555	1319	1053
556	1322	1051
557	1325	1049
558	1327	1047
559	1330	1045
560	1332	1042
561	1335	1041
562	1338	1039
563	1341	1037
564	1344	1035
565	1347	1032
566	1349	1030
567	1352	1028
568	1354	1026
569	1357	1023
570	1359	1021
571	1362	1019
572	1364	1016
573	1367	1014
574	1369	1012
575	1372	1010
576	1374	1007
577	1376	1005
578	1378	1002
579	1381	1000
580	1383	998
581	1386	995
582	1389	993
583	1392	991
584	1394	989
585	1396	986
586	1398	984
587	1401	981
588	1403	979
589	1405	976
590	1408	974
591	1410	972
592	1412	969
593	1414	967
594	1417	964
595	1419	962
596	1421	959
597	1423	956
598	1425	954
599	1428	952
600	1430	949
601	1432	947
602	1434	944
603	1436	941
604	1438	939
605	1441	937
606	1443	934
607	1445	932
608	1447	929
609	1450	927
610	1452	924
611	1455	922
612	1457	920
613	1459	917
614	1462	915
615	1464	912
616	1466	910
617	1468	907
618	1470	905
619	1473	902
620	1475	900
621	1477	898
622	1480	896
623	1482	893
624	1485	891
625	1487	888
626	1489	886
627	1491	883
628	1494	881
629	1497	879
630	1499	877
631	1502	874
632	1504	872
633	1506	869
634	1509	867
635	1511	865
636	1514	862
637	1516	860
638	1518	858
639	1521	855
640	1523	853
641	1526	851
642	1529	848
643	1531	846
644	1533	844
645	1536	841
646	1538	839
647	1541	837
648	1543	834
649	1545	832
650	1548	829
651	1550	827
652	1552	825
653	1555	822
654	1558	820
655	1560	818
656	1563	816
657	1566	813
658	1568	811
659	1570	809
660	1573	806
661	1575	804
662	1578	802
663	1581	800
664	1583	797
665	1585	795
666	1588	792
667	1590	790
668	1592	788
669	1594	785
670	1597	783
671	1599	780
672	1601	778
673	1604	775
674	1606	773
675	1608	771
676	1610	768
677	1613	766
678	1615	763
679	1617	761
680	1620	758
681	1622	756
682	1624	754
683	1627	751
684	1629	749
685	1631	746
686	1634	744
687	1636	742
688	1639	740
689	1642	737
690	1644	735
691	1646	732
692	1649	730
693	1651	728
694	1653	725
695	1656	723
696	1658	720
697	1660	718
698	1663	716
699	1665	713
700	1668	711
701	1670	709
702	1673	706
703	1676	704
704	1678	702
705	1681	700
706	1683	697
707	1686	695
708	1689	693
709	1691	691
710	1693	688
711	1697	686
712	1699	684
713	1702	682
714	1705	679
715	1707	677
716	1710	675
717	1713	673
718	1716	670
719	1719	668
720	1722	666
721	1724	663
722	1727	661
723	1729	659
724	1731	656
725	1734	654
726	1737	652
727	1739	650
728	1742	647
729	1745	645
730	1747	643
731	1750	640
732	1752	638
733	1755	636
734	1757	633
735	1760	631
736	1762	629
737	1764	626
738	1767	624
739	1769	621
740	1772	619
741	1775	617
742	1778	615
743	1780	612
744	1783	610
745	1785	607
746	1787	605
747	1789	602
748	1791	600
749	1793	597
750	1796	595
751	1798	593
752	1801	590
753	1803	588
754	1806	586
755	1808	583
756	1810	581
757	1813	578
758	1815	576
759	1818	574
760	1820	571
761	1822	569
762	1825	566
763	1827	564
764	1830	562
765	1832	559
766	1834	557
767	1837	555
768	1840	552
769	1842	550
770	1844	547
771	1847	545
772	1849	543
773	1853	541
774	1855	538
775	1858	536
776	1860	533
777	1863	531
778	1865	529
779	1868	527
780	1871	524
781	1875	522
782	1877	520
783	1880	518
784	1883	515
785	1886	513
786	1889	511
787	1891	508
788	1894	506
789	1896	504
790	1899	501
791	1901	499
792	1904	497
793	1907	494
794	1910	492
795	1912	490
796	1915	487
797	1919	485
798	1922	483
799	1925	481
800	1928	479
801	1931	476
802	1934	474
803	1936	472
804	1939	469
805	1942	467
806	1945	465
807	1948	462
808	1950	460
809	1953	458
810	1955	455
811	1957	453
812	1960	450
813	1962	448
814	1965	446
815	1967	443
816	1969	441
817	1972	438
818	1974	436
819	1977	433
820	1979	431
821	1981	429
822	1984	426
823	1986	424
824	1989	421
825	1991	419
826	1994	417
827	1996	414
828	1998	412
829	2001	409
830	2003	407
831	2006	405
832	2008	402
833	2010	400
834	2013	397
835	2016	395
836	2018	393
837	2021	390
838	2023	388
839	2026	385
840	2028	383
841	2031	381
842	2033	378
843	2035	376
844	2038	373
845	2040	371
846	2043	369
847	2045	366
848	2047	364
849	2050	361
850	2052	359
851	2055	357
852	2057	354
853	2059	352
854	2061	349
855	2063	347
856	2066	344
857	2068	342
858	2071	339
859	2073	337
860	2075	335
861	2078	332
862	2080	330
863	2082	327
864	2085	325
865	2088	323
866	2090	320
867	2094	318
868	2096	316
869	2098	313
870	2101	311
871	2103	308
872	2105	306
873	2108	303
874	2110	301
875	2113	299
876	2115	296
877	2118	294
878	2120	291
879	2123	289
880	2126	287
881	2128	284
882	2131	282
883	2134	280
884	2136	277
885	2139	275
886	2142	272
887	2144	270
888	2146	268
889	2149	265
890	2151	263
891	2154	260
892	2156	258
893	2158	255
894	2160	253
895	2163	251
896	2166	248
897	2168	246
898	2170	243
899	2173	241
900	2175	239
901	2178	236
902	2181	234
903	2183	231
904	2186	229
905	2188	227
906	2191	224
907	2193	222
908	2196	219
909	2198	217
910	2201	215
911	2203	212
912	2205	210
913	2207	207
914	2210	205
915	2213	202
916	2215	200
917	2218	198
918	2220	195
919	2223	193
920	2225	190
921	2228	188
922	2230	186
923	2233	183
924	2235	181
925	2238	178
926	2241	176
927	2243	174
928	2246	171
929	2248	169
930	2251	166
931	2253	164
932	2256	162
933	2258	159
934	2261	157
935	2263	154
936	2266	152
937	2268	149
938	2271	147
939	2273	145
940	2276	142
941	2278	140
942	2281	137
943	2283	135
944	2286	133
945	2288	130
946	2291	128
947	2294	125
948	2296	123
949	2298	120
950	2301	118
951	2304	116
952	2307	113
953	2310	111
954	2312	108
955	2315	106
956	2318	104
957	2321	101
958	2323	99
959	2326	96
960	2328	94
961	2331	92
962	2334	89
963	2336	87
964	2340	84
965	2342	82
966	2345	80
967	2347	77
968	2350	75
969	2353	72
970	2356	70
971	2358	67
972	2360	65
973	2363	63
974	2366	60
975	2368	58
976	2371	55
977	2373	53
978	2375	50
979	2378	48
980	2380	46
981	2383	43
982	2385	41
983	2388	38
984	2390	36
985	2393	33
986	2395	31
987	2398	29
988	2400	26
989	2403	24
990	2405	21
991	2408	19
992	2410	16
993	2412	14
994	2415	12
995	2418	9
996	2420	7
997	2422	4
998	2425	2
999	2427	0
